#   ds =     0.0001
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0390000     1.4995951     -0.9925364    1.0232958     3.9349541     
0.0391000     1.4995679     -1.0024042    1.0235038     3.9696572     
0.0392000     1.4995386     -1.0122378    1.0233208     4.0068295     
0.0393000     1.4995074     -1.0218329    1.0226840     4.0458202     
0.0394000     1.4994743     -1.0309673    1.0215272     4.0859268     
0.0395000     1.4994394     -1.0394056    1.0197825     4.1264098     
0.0396000     1.4994028     -1.0469022    1.0173802     4.1665074     
0.0397000     1.4993649     -1.0532061    1.0142503     4.2054484     
0.0398000     1.4993258     -1.0580652    1.0103234     4.2424639     
0.0399000     1.4992858     -1.0612304    1.0055310     4.2767970     
0.0400000     1.4992454     -1.0624605    0.9998069     4.3077121     
0.0401000     1.4992049     -1.0615264    0.9930877     4.3345011     
0.0402000     1.4991648     -1.0582158    0.9853136     4.3564899     
0.0403000     1.4991256     -1.0523370    0.9764294     4.3730428     
0.0404000     1.4990878     -1.0437235    0.9663847     4.3835667     
0.0405000     1.4990520     -1.0322368    0.9551353     4.3875132     
0.0406000     1.4990187     -1.0177708    0.9426431     4.3843821     
0.0407000     1.4989886     -1.0002540    0.9288777     4.3737220     
0.0408000     1.4989622     -0.9796523    0.9138163     4.3551326     
0.0409000     1.4989402     -0.9559712    0.8974447     4.3282654     
0.0410000     1.4989232     -0.9292570    0.8797583     4.2928245     
0.0411000     1.4989118     -0.8995981    0.8607628     4.2485675     
0.0412000     1.4989066     -0.8671253    0.8404751     4.1953062     
0.0413000     1.4989080     -0.8320116    0.8189244     4.1329069     
0.0414000     1.4989167     -0.7944715    0.7961537     4.0612917     
0.0415000     1.4989331     -0.7547597    0.7722215     3.9804390     
0.0416000     1.4989576     -0.7131694    0.7472034     3.8903852     
0.0417000     1.4989905     -0.6700293    0.7211950     3.7912257     
0.0418000     1.4990320     -0.6257013    0.6943147     3.6831180     
0.0419000     1.4990825     -0.5805766    0.6667079     3.5662845     
0.0420000     1.4991421     -0.5350720    0.6385518     3.4410170     
0.0421000     1.4992107     -0.4896253    0.6100615     3.3076833     
0.0422000     1.4992883     -0.4446909    0.5814977     3.1667358     
0.0423000     1.4993747     -0.4007347    0.5531760     3.0187242     
0.0424000     1.4994698     -0.3582287    0.5254770     2.8643134     
0.0425000     1.4995732     -0.3176456    0.4988575     2.7043091     
0.0426000     1.4996844     -0.2794537    0.4738599     2.5396951     
0.0427000     1.4998030     -0.2441106    0.4511161     2.3716868     
0.0428000     1.4999283     -0.2120580    0.4313397     2.2018103     
0.0429000     1.5000597     -0.1837163    0.4152985     2.0320181     
